"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"Lincoln",40852,"MKC Reserve","5LMTJ3DH4KUL38663",32990.0,NULL,NULL
"Toyota",27830,"4Runner Limited","JTEBU5JR6K5651142",47899.0,NULL,NULL
"Hyundai",5065,"Kona SEL","KM8K6CAB7NU860532",28100.0,NULL,NULL
"Toyota",35290,"RAV4 XLE","2T3RFREV8JW703907",30995.0,NULL,NULL
"Ford",58024,"Edge Titanium","2FMPK4K94HBB88233",28995.0,NULL,NULL
"Mercedes-Benz",98372,"C-Class C 300","55SWF4KB0FU027710",22499.0,NULL,NULL
"Hyundai",24751,"Tucson Ultimate","KM8J3CAL3LU209585",32998.0,NULL,NULL
"Chevrolet",98323,"Equinox LT","2GNFLFEKXG6263734",16490.0,NULL,NULL
"Hyundai",13785,"Sonata SE","5NPE24AF1KH781739",23495.0,NULL,NULL
"Ford",30570,"F-150 XL","1FTEW1EP2KFD53727",37999.0,NULL,NULL
"Toyota",49625,"Camry LE","4T1C11AK1LU343828",27795.0,NULL,NULL
"Mazda",10545,"CX-5 Touring","JM3KFBCM1M0423815",31998.0,NULL,NULL
"RAM",49467,"1500 Laramie","1C6SRFJT0MN751772",49864.0,NULL,NULL
"GMC",38932,"Canyon SLT","1GTP6DE13G1243862",35259.0,NULL,NULL
"Honda",50001,"CR-V EX-L","JHLRW2H83KX013172",29599.0,NULL,NULL
"BMW",29954,"X3 xDrive30i","5UXTR9C56KLD96307",39998.0,NULL,NULL
"RAM",15778,"1500 Laramie","1C6SRFJT8LN327514",47995.0,NULL,NULL
"Chevrolet",46962,"Equinox 1LT","3GNAXUEVXLL143709",26980.0,NULL,NULL
"Ford",24794,"Edge ST","2FMPK4AP9LBA84569",42499.0,NULL,NULL
"GMC",78193,"Acadia Limited Limited","1GKKVSKD5HJ149455",27998.0,NULL,NULL
"GMC",19591,"Terrain Denali","3GKALXEXXKL130999",34299.0,NULL,NULL
"Chevrolet",25969,"Trax LT","3GNCJPSB2KL157799",20998.0,NULL,NULL
"RAM",39946,"1500 Express","3C6JR7ATXHG641067",28993.0,NULL,NULL
"Ford",73153,"Edge Titanium","2FMPK4K92FBB07162",22999.0,NULL,NULL
"Kia",96032,"Sorento EX","5XYPHDA58GG016539",19599.0,NULL,NULL
"Subaru",13818,"Legacy Premium","4S3BWAF66M3011517",28500.0,NULL,NULL
"Chevrolet",79149,"Malibu LT","1G1ZD5ST2JF199284",19699.0,NULL,NULL
"Honda",11253,"Civic LX","2HGFC2F62KH562314",23995.0,NULL,NULL
"GMC",23829,"Terrain Denali","3GKALXEXXLL172669",37683.0,NULL,NULL
"Nissan",46416,"Rogue SV","5N1AT2MV7JC754473",26199.0,NULL,NULL
"Lincoln",27119,"Aviator Reserve AWD","5LM5J7XC6LGL13991",62474.0,NULL,NULL
"Subaru",87219,"Ascent Limited 7-Passenger","4S4WMAMD8K3458934",27995.0,NULL,NULL
"Acura",28900,"TLX FWD","19UUB1F32KA009672",31995.0,NULL,NULL
"BMW",20029,"330 i xDrive","3MW5R7J05L8B31693",41800.0,NULL,NULL
"Toyota",19724,"RAV4 LE","JTMG1RFV6KD032868",32995.0,NULL,NULL
"Honda",41280,"CR-V EX","7FARW2H5XKE012764",29990.0,NULL,NULL
"Honda",32125,"Civic EX","SHHFK7H67JU218251",27000.0,NULL,NULL
