"model","vin","price_july_22","price_aug_2","difference"
"Traverse LTZ","1GNKVJKD1GJ250956",23486.0,NULL,NULL
"Equinox 1LT","3GNAXKEV9KS517297",22990.0,NULL,NULL
"Escape SE","1FMCU9GD9KUB61050",23495.0,NULL,NULL
"Grand Cherokee Laredo","1C4RJFAG1FC708350",21499.0,NULL,NULL
"Rogue SV","5N1AT2MV3JC786675",24998.0,NULL,NULL
"Tiguan 2.0T SE","3VV2B7AX0KM141224",24811.0,NULL,NULL
"Sorento LX","5XYPGDA39GG133791",21988.0,NULL,NULL
"Kona SEL","KM8K6CAB2NU902279",28495.0,NULL,NULL
"Sonata SE","5NPE24AF8KH731629",22994.0,NULL,NULL
"Outback 2.5i","4S4BSABC0K3356137",28995.0,NULL,NULL
"Rover Range Rover Evoque SE Premium","SALVP2BG7HH208874",29980.0,NULL,NULL
"Civic EX","SHHFK7H6XKU226457",28995.0,NULL,NULL
"CX-30 Select","3MVDMBBL4MM217898",26599.0,NULL,NULL
"Sportage LX","KNDPMCACXK7605814",25998.0,NULL,NULL
"X2 xDrive28i","WBXYJ5C37JEF74639",27997.0,NULL,NULL
"Outback 2.5i Limited","4S4BSANC7H3299519",24397.0,NULL,NULL
"Edge SE","2FMPK4G97JBC58628",23999.0,NULL,NULL
"CR-V EX-L","2HKRW2H87KH624069",29998.0,NULL,NULL
"Equinox 1LT","3GNAXUEV5ML379203",29500.0,NULL,NULL
"Fusion SE","3FA6P0HD9LR148820",24999.0,NULL,NULL
"Equinox 1LT","3GNAXUEV5KS516059",22999.0,NULL,NULL
"Equinox 1LT","3GNAXUEV1MS168635",27995.0,NULL,NULL
"MKZ Base","3LN6L2G97GR613126",20499.0,NULL,NULL
"Sportage LX","KNDPMCAC9L7807190",29812.0,NULL,NULL
"Escape SE","1FMCU9GD0KUC04609",25613.0,NULL,NULL
"Enclave Leather","5GAKVBKD6HJ261498",28998.0,NULL,NULL
"1500 Big Horn","3C6RR7LT4HG544513",27900.0,NULL,NULL
"RAV4 Limited","2T3DFREV5GW413529",27399.0,NULL,NULL
"Impreza 2.0i Premium","4S3GKAD63K3621585",24995.0,NULL,NULL
"Rover Range Rover Evoque SE Premium","SALVP2BG9HH170418",30000.0,NULL,NULL
"Murano S","5N1AZ2AS7LN113968",29998.0,NULL,NULL
