"vin","year","make","model","used_or_new","price","sellertype","sellername","zipcode","dealtype","drivetrain","transmission","engine","mileage","difference","percentage_of_difference"
"3FA6P0HD6JR213409",2018,"Ford","Fusion SE","Used",23891.00,"Dealer","Mills GM",56425,"Good","Front-wheel Drive","6-Speed Automatic","1.5L I4 16V GDI DOHC Turbo",14345,NULL,NULL
"2T3RFREV4FW373240",2015,"Toyota","RAV4 XLE","Used",22497.00,"Dealer","AutoNation Ford White Bear Lake",55110,"Fair","All-wheel Drive","6-Speed Automatic","2.5L I4 16V MPFI DOHC",93705,NULL,NULL
"5FNYF8H56LB000137",2020,"Honda","Passport EX-L","Honda Certified",37508.00,"Dealer","Buerkle Hyundai",55110,"Good","All-wheel Drive","9-Speed Automatic","3.5L V6 24V GDI SOHC",39602,NULL,NULL
"3GKALXEX0KL180424",2019,"GMC","Terrain Denali","GMC Certified",35495.00,"Dealer","Luther Brookdale Chevrolet",55429,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",31510,NULL,NULL
"3VV0B7AX6KM102287",2019,"Volkswagen","Tiguan 2.0T S","Volkswagen Certified",26985.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",30499,NULL,NULL
"3GNCJNSB2KL340222",2019,"Chevrolet","Trax LS","Used",20900.00,"Dealer","Luther Burnsville Hyundai",55306,"Good","All-wheel Drive","6-Speed Automatic","1.4L I4 16V MPFI DOHC Turbo",23997,NULL,NULL
"3C4PDDEG6HT595791",2017,"Dodge","Journey GT","Used",17997.00,"Dealer","North Imports",55337,"Great","All-wheel Drive","Automatic 6-Speed","V6 Cylinder Engine",35942,NULL,NULL
"3GNKBHRS3KS655519",2019,"Chevrolet","Blazer 3LT BOSE","Used",37299.00,"Dealer","Walser Polar Chevrolet",55110,"Good","All-wheel Drive","Automatic","Gas V6 3.6L/",47846,NULL,NULL
"2FMPK4J93LBA19556",2020,"Ford","Edge SEL","Used",34992.00,"Dealer","Mauer Buick GMC",55077,"Great","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",13657,NULL,NULL
"1FTEW1EP4LKE05397",2020,"Ford","F-150 XLT","Used",43999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Great","Four-wheel Drive","10-Speed Automatic","2.7L V6 24V PDI DOHC Twin Turbo",22668,NULL,NULL
