Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2018,Jeep,Compass Sport,Used,"$21,998 ",4.6,419,Dealer,Luther Kia of Bloomington,4.8,1620,1701 American Blvd W Minneapolis,MN,55431,Good,4.6,4.6,4.4,4.4,4.8,4.5,Four-wheel Drive,22,31,Gasoline,9-Speed Automatic,2.4L I4 16V MPFI SOHC,3C4NJDAB0JT265175,W9156A,74025
2018,Subaru,Forester 2.5i Premium,Used,"$22,988 ",4.8,505,Dealer,Luther Bloomington Subaru,4.7,5148,7801 Lyndale Ave S Bloomington,MN,55420,Good,4.8,4.6,4.7,4.8,4.7,4.8,All-wheel Drive,26,32,Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,JF2SJAGC6JH477158,P63729,90432
2017,Toyota,RAV4 Limited,Used,"$26,250 ",4.8,591,Dealer,Motorwerks BMW,4.7,1669,1300 American Boulevard West Bloomington,MN,55420,Good,4.8,4.7,4.7,4.7,4.8,4.9,All-wheel Drive,22,29,Gasoline,6-Speed Automatic,2.5L I4 16V MPFI DOHC,2T3DFREV8HW623463,B0323LRU,87244
2017,Jeep,Wrangler Unlimited Sahara,Used,"$36,991 ",4.7,228,Dealer,Bloomington Chrysler Jeep Dodge RAM,4.7,448,8000 Penn Ave South Bloomington,MN,55431,Good,4.6,4.6,4.6,4.5,4.9,4.8,Four-wheel Drive,16,20,Gasoline,Automatic,Regular Unleaded V-6 3.6 L/220,1C4BJWEG7HL721778,11AS959T,42227
2019,INFINITI,QX60 Luxe,INFINITI Certified,"$37,990 ",4.6,56,Dealer,Luther INFINITI of Bloomington,4.9,204,1500 W 81st St Bloomington,MN,55431,Great,4.8,4.6,4.5,4.5,4.7,4.6,All-wheel Drive,19,26,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,5N1DL0MM1KC519187,P8193,27816
2019,Toyota,Highlander XLE,Used,"$37,998 ",4.6,363,Dealer,Walser Toyota,4.6,1179,4401 American Blvd W Minneapolis,MN,55437,Great,4.8,4.7,4.6,4.5,4.7,4.6,All-wheel Drive,20,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/211,5TDJZRFH2KS597700,3BJ849A,34015
2021,Toyota,RAV4 Prime SE,Used,"$58,998 ",4.9,40,Dealer,Walser Toyota,4.6,1179,4401 American Blvd W Minneapolis,MN,55437,Good,4.8,4.8,4.9,4.6,4.9,4.9,All-wheel Drive,0,0,Hybrid,Variable,Gas/Electric I-4 2.5 L/152,JTMAB3FV3MD028974,14BX637P,13534
2019,GMC,Terrain SLE,Used,"$28,998 ",4.5,118,Dealer,Walser Buick GMC Bloomington,4.6,399,4601 American Blvd West Bloomington,MN,55437,Great,4.7,4.6,4.5,4.3,4.8,4.4,All-wheel Drive,24,28,Gasoline,Automatic,Turbocharged Gas/E15 I4 1.5L/92,3GKALTEV9KL400134,4AK647L,15691
2012,BMW,328 i,Used,"$23,995 ",4.5,48,Dealer,The Car Buying Center,4.3,3,6501 Cambridge St St. Louis Park,MN,55426,Fair,4.3,4.5,4.8,4.2,4.8,4.5,Rear-wheel Drive,17,26,Gasoline,6-Speed Automatic,3.0L I6 24V MPFI DOHC,WBADW7C54CE729168,61852838,35151
2017,RAM,1500 Big Horn,Used,"$27,900 ",4.7,495,Dealer,Drive Appeal- Eden Prairie(Indoor Showroom),4.5,45,7206 Washington Ave S Eden Prairie,MN,55344,Great,4.8,4.7,4.8,4.6,4.8,4.7,Four-wheel Drive,16,23,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,3C6RR7LT4HG544513,E9832564A,89239
